EVTDESC22592;If one in $YEAR$ were to look at the state of the $COUNTRY_ADJ$ line of defences in $PROVINCENAME$, what they would see is a multitude of abandoned bases and unmanned fortifications occupied only by squatters. A fortification is something tricky to maintain - not only it needs regular assessment of the integrity of walls and gates, but also a constant supply of new armaments, supplies and tools for repair. If one of these ingredients are missing, the structures become useless and the military corps are powerless to stop decay from setting in. After several years of hardship, what is seen in $STATENAME$ is this picture, a consequence of the disastrous bankruptcy that is crushing $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME22591;Overgrown Railways in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22591;What once was one of the arteries of $COUNTRY_ADJ$ industry, the railway in $PROVINCENAME$ fell into such disrepair that it's path is barely visible and its tracks are unusable. Economic recession has hit $STATENAME$ harshly for the last years and without money from $CAPITAL$ being invested, most of the railways in $STATENAME$ are in such a state that they will need to be rebuilt to become train-worthy again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME22590;$PROVINCENAME$ Old Naval Base;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC22590;A half abandoned leviathan stuck in the coast. That is how locals in $PROVINCENAME$ describe the decrepit facilities of the old naval base that used to be a local asset strategically important for the $COUNTRY_ADJ$ government. In truth, the naval base has been in decline for a long while and the government defaulting is just the rock bottom. Hit with a severe economic recession in $YEAR$, $COUNTRY_ADJ$ politicians in $CAPITAL$ have no money to spend on repairing and maintaining non-essential staff and facilities.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT22590OPTA;The $COUNTRY_ADJ$ will rise again.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME60168004;$PROVINCENAME$ Military Base Damaged;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC60168004;Bullets whistled as the morning came in $PROVINCENAME$. Enemy soldiers engaged our troops in the roads, their artillery hoaring in the distance. Our local military base was spearheading the defense, soldiers taking turns crouching to reload and standing up to fire at the enemies. A group of enemy commandos snuck in one of the base's armouries and managed to blow it up with explosives, severely damaging the base's structure.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT60168004OPTA;We shall rebuild.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME60168005;Sabotage in $PROVINCENAME$;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTDESC60168005;A cargo train hurriedly passed by the $PROVINCENAME$ railroad during dusk while human silhouettes snuck out of the railroad. They hit the wooden keys used to hold the rails in chairs with a hammer, diverting the train to a more sinuous track while forward other figures moved objects in the rail. The train was wrecked by putting objects on the high rail at a curve, and contained tons of supplies for our troops fighting in the province. Later on that night, one of our railroad bridges in $PROVINCENAME$ was burned to the ground, with no culprits found. These actions are believed to be the work of the enemy and severely crippled our railroad network.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT60168005OPTA;A minor setback.;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
loss_of_control;Loss of Control;;;;;;;;;;;;x,,,,
colonial_chaos;Colonial Chaos;;;;;;;;;;;;x,,,,
EVT8000600OPTA;Spread the word!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVT8000600OPTB;It's too risky.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME8000600;The Proletariat Cause;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000600;An opportunity has arisen to fund the spread of communism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, the workers around the world will continue to slave under bourgeois oppression. The proletariats in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME8000610;The Spread of Populism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000610;An opportunity has arisen to fund the spread of populism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be seen as shirking our duty to the populist cause. The populists in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME8000620;The Spread of Fundamentalism;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000620;An opportunity has arisen to fund the spread of fundamentalism in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be admitting that we cannot aid the spread of the religious revolution. The traditionalist clerics in $CAPITAL$ are calling on us to aid the cause!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME8000630;The Cause of Freedom;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000630;An opportunity has arisen to fund the spread of democracy in a neighboring state. If discovered, this could start a diplomatic incident and gain us infamy... but if we do not act, we will be seen as abandoning those who live under the rule of tyrants. Liberals in $CAPITAL$ are calling on us to aid the cause of world freedom!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME8000640;We Were Discovered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000640;Several of our agents in $FROMCOUNTRY$ were discovered and interrogated, and word of our efforts have spread. This will have an impact on our infamy, and the $FROMCOUNTRY_ADJ$ may choose to take the issue as cause for war against us.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME8000650;Diplomatic Incident;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC8000650;We have reports of $FROMCOUNTRY_ADJ$ propaganda being spread in one of our border provinces. Clearly the $FROMCOUNTRY$ government does not respect our sovereignty. Word of the event has leaked out, and members of the $COUNTRY_ADJ$ government are calling for immediate action!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME800100;$COUNTRY_ADJ$ Patriots;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC800100;We have been contacted by $COUNTRY_ADJ$ patriots, currently living under the dominion of a neighboring country. They suggest that there is an opportunity to stir up sentiment among those living there so that they may rise up and rejoin the mother country. There is, of course, a risk that our efforts could be discovered and bring war down upon us. Should we help them?;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT800100OPTA;We must free our brethren.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVT800100OPTB;It's too risky.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,
EVTNAME800101;$FROMCOUNTRY$ Spreading Dissent;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC800101;We have received reports that the $FROMCOUNTRY_ADJ$ government has been inciting dissent among minorities in $COUNTRY$. This is an act of aggression that deserves a swift response.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT800101OPTA;We will not tolerate this.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT800101OPTB;Let it slide.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME800102;We Have Been Discovered;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC800102;Our efforts to incite $COUNTRY_ADJ$ patriots in $FROMCOUNTRY$ have been discovered. The $FROMCOUNTRY_ADJ$ government is threatening war over this breach of their sovereignty.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT800102OPTA;Let them come!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97175;Chaos in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97175;The rebellion in $STATENAME$ has been going on for far too long, and we are in danger of losing control of the colony entirely. Local militants in $PROVINCENAME$ have gone so far as to declare their nation's independence... and while that isn't yet true, as $STATENAME$'s state of chaos is still far too widespread, it's an embarrassment to $COUNTRY$ and,  given enough time, the militants might gain enough control to earn the colony's independence.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVT97175OPTA;This cannot be allowed.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,
EVTNAME97180;Return of Our Lands;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97180;Rebels in a neighboring colony have destabilized it enough that the people there are calling out for $COUNTRY$ to restore order. This is our land, and it seems that the western powers have all but abandoned it to chaos. So why shouldn't we intervene? Still, there are some who say this will only damage our relationship with a power... one we cannot afford to anger.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVT97180OPTA;We will assume control.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVT97180OPTB;It is too risky.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVTNAME97181;Colonial Uprising in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97181;We have lost control of the situation in $STATENAME$. The rebels have gained sufficient control that they have ejected the $COUNTRY_ADJ$ governors and declared their independence... for now.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT97181OPTA;We'll be back.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97182;Free of Colonial Control!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97182;We are free!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME97185;Order Restored in $STATENAME$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC97185;We have restored order to our colony in $STATENAME$... at least for the moment.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVT97185OPTA;About time!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTNAME201900;Regency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTDESC201900;Sometimes the monarch just isn't there. Dying without a suitable or old enough heir, becoming incapable or senile while the government enters a deadlock. Sometimes the monarch is so ill that the government doesn't work and sometimes he's just away and someone incompetent was left to take care of things in his stead. Regardless of the reason, the $COUNTRY_ADJ$ government is currently going through a regency. We can expect some instability in the years ahead.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA201900;Terrible news.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
regency_government;Regency;;;;;;;;;;;;;;;;;;;;x,,,,,
regency_government_desc;Sickness, foreign trips, premature death or abdication - a number of reasons can trigger a regency. The fact is that our country is currently in one, the regents aren't very good at their jobs and our country is on the edge of chaos.;;;;;;;;;;;;;;;;;;;;x,,,,,
coup_risk;Coup d'etat Risk;;;;;;;;;;;;;x,,,,
coup_risk_desc;There is dissension within the nation's military, one that is leading to a breakdown of order not only within the ranks but within the country itself. Some fear the army will rise up and take over the government.;;;;;;;;;;;;;x,,,
military_strife;Military Strife;;;;;;;;;;;;;x,,,,
military_strife_desc;We are battling with our own army to prevent them from taking over the government. Purges are not infrequent, and the chances of soldiers defecting to join rebel causes raises with every passing day.;;;;;;;;;;;;;x,,,
EVTNAME152009872;$COUNTRY_ADJ$ Coup d'etat?;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC152009872;There is unrest among $COUNTRY_ADJ$ officers in the military, enough that some of them are actively spreading dissension among the ranks. $COUNTRY$ would be better served, they say, if the army was in charge rather than the current leadership -- elected it may be, but according to them it has proven too ineffective. And it seems many of the men under their command agree.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVT152009872OPTA;This could mean trouble down the line.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,
EVTNAME152009873;The $COUNTRY_ADJ$ Military Coup d'etat;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,
EVTDESC152009873;$COUNTRY_ADJ$ army forces in $CAPITAL$ have made their way toward the government buildings -- not to protect the $COUNTRY_ADJ$ government as is their duty, but instead to oust our leaders and install themselves as $COUNTRY$'s new rulers. They claim that $COUNTRY$ is in a state of 'upheaval', and only the army can restore order.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVT152009873OPTA;The army shall rule $COUNTRY$ for now.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVT152009873OPTB;We will not stand for military rule in $COUNTRY$!;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,
EVT8000640OPTA;We shall see if this leads to anything.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVT8000650OPTA;There will be consequences!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVT8000650OPTB;We protest this outrage!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVT8000650OPTC;It's only propaganda.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1620;The Hawai'i Sugar Strike of 1946, which became one of the most expensive strikes, was organized after a period of martial law on the island of Hawai'i to protest unfair working conditions imposed by the plantations on the island. The strike would prove successful, at least temporarily, and would help further drive social change on the island as the colonial government was further weakened by increased organization and resistance.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1621;The 'Hawai'i Democratic Revolution' was the name of a series of non-violent protests, strikes, and marches carried out by a newly unified regional Democratic Party of Hawai'i alongside several left-wing groups such as the regional branch of the Community Party. The aim of the uprisings was the decades of abuse on the island by corrupt government and poor working conditions by the many plantations on the island, as well as poverty. The events historically culminated in statehood for Hawai'i and the ouster of white minority rule as the Republican party dominance on the island was dealt its final blow.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1622;John A. Burns, though not a native of Hawai'i, became a prominent figure in the Democratic Party of Hawai'i after becoming involved in the Democratic Revolution. Formerly a police officer he would eventually rise through local leadership positions in the Democratic Party of Hawai'i, eventually becoming its chair as he worked to build a broad coalition both within the party's progressive elements and with other organizations such as the ILWU and the Communist Party of Hawai'i. Later in life he would go on to serve as the new state's second governor.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1623;With Republican leadership both on and off the island and the business elite increasingly fearing the communist elements of the Democratic Revolution, there have been calls by the territorial legislature for an investigation from the House Un-American Activities Committee. Historically, this resulted in the arrest of seven influencial members of the movement who were tried under the Smith Act and held until 1958.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1624;The waning influence of the more moderate and centre-right factions of the Democratic Party of Hawai'i saw the party as a whole move left-ward, with Burns rising its ranks and attempting to re-envision the party as a centre-left party, working to curtail communist influence and instead draw people towards his progressive agenda. By 1954 the right-wing faction of the DPH had collapsed, paving the way for a DPH victory in the 1954 elections - seeing the total number of seats finally won by a DPH majority. Even with this majority though, the appointment of a Republican governor - Samuel King - to the island by then President Eisenhower would see their agenda frustrated, with a use of over 71 vetoes over the course of his appointment.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1625;Tensions on Hawai'i have reached a breaking point today as several organizations on the island have come together to storm government buildings and oust the government on the island, declaring independence and refusing to recognize themselves as a territory of the US.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC1626;With our Independence from the United States regained, we should decide the future of our nation. Many wish to see our former government returned to power under a constitutional monarchy, though there are those that have grown fond of the Republic - and even some that want to see an even more radical regime.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTNAME97700;Patriot Rebellion!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVTDESC97700;$COUNTRY_ADJ$ patriots have risen up in $FROMCOUNTRY$, and have gained control of the capital. They send word they wish to bring all our lost provinces back to $COUNTRY_ADJ$ control. Agreeing would mean risking war, but refusing would mean angering our people.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVT97700OPTA;We welcome their return.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
EVT97700OPTB;It is too risky.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,
